,headline,global_index,index,con,newsOrder,word_count
19,Baby woolly mammoth found frozen in permafrost in Canada,463,lSToD6u7LuZJk20NqhMUk3jy22S2,4,17,9
28," Army National Guard misses Covid vaccine deadline, faces recruiting crisis",245,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,5,10
30,-FDA to decide within days if new COVID booster shots are warranted,471,lSToD6u7LuZJk20NqhMUk3jy22S2,4,6,12
40," Iran, US end nuclear deal talks without breakthrough",439,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,2,8
46,Boris Johnson's Brexit Bill Clears Hurdle in House of Commons,610,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,1,10
52," Drought Hits the Colorado River Hard,  States to Feel the Effects",438,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,14,11
59,Ocean Floor Mapping Progressing Slowly but Surely,307,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,16,7
62,Worldwide vaccination effort averts millions of deaths,366,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,8,7
68,Scientists discover new species of giant bacteria,475,lSToD6u7LuZJk20NqhMUk3jy22S2,4,18,7
77,From water pollution to climate change: the hidden environmental cost of America's lawns,368,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,12,13
79,Lack of action on climate change leads to water shortages on Colorado River,360,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,10,13
89,Burial Dating Method Reveals New Details About Early Humans,255,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,19,9
94,-US Forest Service made several mistakes in planning New Mexico prescribed burn,481,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,13,12
99,Tokyo's Rickshaw Men Prepare for Return of Foreign Tourists,374,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,7,9
103,Cattle Killed by Record-Breaking Heat Wave in Kansas,81,7vtosds1eTQWx6qaDn5FwExnVR63,4,11,8
110,Wildfires May Have Helped Raise Oxygen Levels on Earth,611,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,15,9
114,New vaccines on the way offer better protection against COVID variants and subvariants,365,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,9,13
2,Tanzania farmers struggle to keep crops alive amid global fertiliser shortage,314,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,4,11
8,Stalemate in Iran nuclear talks,470,lSToD6u7LuZJk20NqhMUk3jy22S2,4,2,5
15,Mapping the seafloor: vital for navigation and climate change,496,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,16,9
23,Climate change is a reality we can no longer ignore,305,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,11,10
29,Ongoing drought leaves Colorado River reservoir levels dangerously low,83,7vtosds1eTQWx6qaDn5FwExnVR63,4,10,9
34,States Dependent on Colorado River Facing Drought Conditions,608,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,14,8
36," COVID Restrictions Gradually Loosening in Japan, Allowing for Return of Tourists",432,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,7,11
44,The Forest Service will have to more effectively factor climate change into its plans,312,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,13,14
51," Using burial dating, researchers find that early human ancestors lived  million years ago",84,7vtosds1eTQWx6qaDn5FwExnVR63,4,19,13
55," UK MPs vote to override Brexit deal, risking trade war with EU",211,LThoEJBs8INX22KfDMJT09LBP8F2,4,1,12
65,Stunningly preserved mammoth calf found in Yukon permafrost,94,7vtosds1eTQWx6qaDn5FwExnVR63,4,17,8
67," COVID vaccine prevents millions of deaths, but even more could be saved with better access",482,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,8,15
73,Qatar and Egypt Strengthen Ties With $ Billion Investment,301,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,0,9
83,UN political chief urges Libya factions to agree on election transition,90,7vtosds1eTQWx6qaDn5FwExnVR63,4,3,11
85,New Bacteria Species Challenges Limits of What Bacteria Can Look Like,483,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,18,11
90,The Hidden Environmental Costs of Caring for a Lawn,99,7vtosds1eTQWx6qaDn5FwExnVR63,4,12,9
97,Army National Guard struggling to meet vaccine deadline amid recruiting crisis,615,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,5,11
102,New COVID vaccines provide long-lasting protection against variants,469,lSToD6u7LuZJk20NqhMUk3jy22S2,4,9,8
112,Moderna and Pfizer test updated shots against omicron variant,601,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,6,9
118,Fire in the Silurian: Evidence of the Earliest Wildfires Found in Wales,727,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,15,12
1,Lawns are a net contributor to climate change here's what you can do to help,422,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,12,15
9,The importance of mapping the ocean floor,207,LThoEJBs8INX22KfDMJT09LBP8F2,4,16,7
14,US Forest Service made several mistakes in planning New Mexico prescribed burn,205,LThoEJBs8INX22KfDMJT09LBP8F2,4,13,12
22," COVID  Vaccines: Immunities Wane Over Time, Booster Shots Necessary",495,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,9,9
24,Japanese Tourism Begins to Rebound Following Pandemic,93,7vtosds1eTQWx6qaDn5FwExnVR63,4,7,7
34,Early human fossils in South African cave found to be  million years old,434,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,19,13
39,African Farmers Battle Global Fertilizer Shortage,467,lSToD6u7LuZJk20NqhMUk3jy22S2,4,4,6
42,House of Commons Votes to Allow Boris Johnson's Bill to Proceed,309,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,1,11
49,New species of bacteria has membranes organizing its insides,315,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,18,9
55,-Drought forces significant cuts to Colorado River water supply,369,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,14,9
61,Army National Guard Vaccination Deadline Passes with Thousands Unvaccinated,319,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,5,9
66,Updated COVID shots may help protect against future surges,499,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,6,9
73," , Additional Deaths Averted If WHO Target of % Vaccination Coverage Had Been Met",474,lSToD6u7LuZJk20NqhMUk3jy22S2,4,8,14
83,Libyan factions agree on constitutional measures to pave way for elections,200,LThoEJBs8INX22KfDMJT09LBP8F2,4,3,11
84,Qatari Emir's Visit To Cairo Aims To Improve Bilateral Relations,86,7vtosds1eTQWx6qaDn5FwExnVR63,4,0,10
93,Water Shortages Looming for Seven States,619,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,10,6
97,Baby Woolly Mammoth Found Nearly Whole in Canada,489,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,17,8
105,Talks between Iran and US end without breakthrough,612,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,2,8
109,Prototaxites: The -Million-Year-Old Pillars of Fungus That May Have Started Wildfires,302,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,15,11
119," National Weather Service: , visitors to Yellowstone National Park evacuated after severe flooding",736,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,11,13
5," Water shortages on the Colorado River to worsen next year, federal official warns",485,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,10,13
7,Get a Booster Shot for Long-Lasting COVID  Immunity,725,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,9,8
14,Frozen in Time: Baby Woolly Mammoth Discovered in Canadian Permafrost,308,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,17,10
22,Americans' Obsession With Lawns is harming the Environment,219,LThoEJBs8INX22KfDMJT09LBP8F2,4,12,8
25,New species of bacteria challenges what we know about microbes,91,7vtosds1eTQWx6qaDn5FwExnVR63,4,18,10
32,US health authorities debate offering new COVID booster shots this fall,738,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,6,11
36,Army National Guard soldiers face penalties for not being vaccinated,95,7vtosds1eTQWx6qaDn5FwExnVR63,4,5,10
44,"COVID vaccines prevented deaths on an unimaginable scale, say researchers",214,LThoEJBs8INX22KfDMJT09LBP8F2,4,8,10
53,"Climate change leads to larger, more frequent wildfires",373,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,13,8
56,Africa's farmers hit hard by global fertilizer shortage,251,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,4,8
64,Climate change causes extreme weather events,431,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,11,6
70,No Progress In Efforts To Revive Iran Nuclear Deal,491,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,2,9
72,Colorado River Drought Could Lead to Cuts for Seven States,96,7vtosds1eTQWx6qaDn5FwExnVR63,4,14,10
81,Japan gradually relaxes border controls to allow foreign tourists back in,600,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,7,11
89,UN urges Libya's rival factions to agree on transition to elections,361,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,3,11
94,UN Ocean Conference highlights importance of mapping the ocean floor,423,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,16,10
100,EU Warns UK of Trade War if Brexit Bill Becomes Law,466,lSToD6u7LuZJk20NqhMUk3jy22S2,4,1,11
107,Researchers use burial dating to accurately date human ancestor fossils,217,LThoEJBs8INX22KfDMJT09LBP8F2,4,19,10
109,Million-Year-Old Charred Remains Suggest Ancient Wildfires,478,lSToD6u7LuZJk20NqhMUk3jy22S2,4,15,6
117,Qatar Emir Arrives in Cairo for Talks With President,370,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,0,9
4,oldest evidence of wildfire found in south Wales,209,LThoEJBs8INX22KfDMJT09LBP8F2,4,15,8
7,Fertilizer shortage leaves farmers struggling to keep crops alive,739,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,4,9
16,Ice Age Baby Mammoth Found in Stunningly Preserved Condition,721,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,17,9
19,Climate change is already wreaking havoc on our world,468,lSToD6u7LuZJk20NqhMUk3jy22S2,4,11,9
24,Researchers use burial dating to accurately date early human fossils,722,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,19,10
34," , Additional Deaths Could Have Been Prevented If Vaccination Coverage Target Had Been Met",427,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,8,14
41,Many Unvaccinated Soldiers Face Expulsion from Army National Guard,493,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,5,9
44,US and Iran at Stalemate in Nuclear Deal Talks,240,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,2,9
52,UN Urges Libya Rival Factions to Agree on Election Measures,252,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,3,10
57,New COVID  vaccines offer stronger protection against variants,304,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,9,8
61,New species of bacteria discovered that is visible to the naked eye,724,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,18,12
69,Ongoing drought causes water scarcity in Western United States,433,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,10,9
74,Boris Johnson's Brexit Bill Moves Forward Despite Opposition,363,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,1,8
78,Qatar Signs $ Billion Investment Deal with Egypt,613,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,0,8
85,US health authorities to debate updated COVID booster shots,254,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,6,9
90,Japan gradually relaxes restrictions on foreign visitors,244,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,7,7
96,Federal Official: Seven States Will Need to Significantly Reduce Colorado River Water Use Next Year,728,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,14,15
102,-Lawns contribute to water pollution and climate change,603,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,12,8
109," The prescribed burn in New Mexico took an unexpected turn, causing the largest fire in the United States this year",461,lSToD6u7LuZJk20NqhMUk3jy22S2,4,13,20
115,UN Ocean Conference highlights advances in seafloor mapping,97,7vtosds1eTQWx6qaDn5FwExnVR63,4,16,8
3,Federal officials warn of looming water crisis in the American West,242,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,14,11
9,Australopithecus remains found in South African cave are older than previously thought,477,lSToD6u7LuZJk20NqhMUk3jy22S2,4,19,12
14,Mixing and matching vaccines is an effective strategy for boosting immunity against COVID -,430,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,9,14
20,Fertiliser shortage could push an additional seven million people into food scarcity,206,LThoEJBs8INX22KfDMJT09LBP8F2,4,4,12
29,Federal officials warn of water shortages from Colorado River,730,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,10,9
31," COVID  Restrictions Ease in Japan, Allowing Limited Numbers of Tourists",494,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,7,10
39,Boris Johnson's Brexit Bill Clears First Hurdle In House Of Commons,243,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,1,11
45,Lack of progress in nuclear deal talks raises risk of confrontation with Iran,85,7vtosds1eTQWx6qaDn5FwExnVR63,4,2,13
49,-Bacteria found that is the size of a human eyelash,605,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,18,10
58,Is the American Lawn a Threat to the Planet?,479,lSToD6u7LuZJk20NqhMUk3jy22S2,4,12,9
64,Progress at UN Ocean Conference as Mapping of Seafloor Slowly Rises,606,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,16,11
67,Qatar's Emir arrives in Cairo for talks with President el-Sissi,201,LThoEJBs8INX22KfDMJT09LBP8F2,4,0,10
75,-New evidence reveals that fires were started by lightning strikes millions of years ago,425,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,15,14
78,One-third of US population advised to stay indoors to protect against potentially deadly heat wave,618,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,11,15
88," Newly-discovered baby woolly mammoth entombs , years of history",203,LThoEJBs8INX22KfDMJT09LBP8F2,4,17,9
92,COVID vaccines could have prevented even more deaths,614,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,8,8
96,Forest Service report highlights mistakes leading to destructive wildfire,420,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,13,9
102,Army National Guard soldiers facing separation for not being vaccinated,372,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,5,10
108,UN Urges Libyan Factions to Agree on Elections Measures,487,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,3,9
117,FDA to Debate Offering Updated COVID Booster Shots,421,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,6,8
2,-New COVID booster shots to be debated by US health authorities,303,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,6,11
6,Stunningly preserved baby woolly mammoth found in permafrost in Yukon,246,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,17,10
13,Risk of potential confrontation with Iran rises as talks fail to revive nuclear deal,210,LThoEJBs8INX22KfDMJT09LBP8F2,4,2,14
19,COVID  Vaccines Could Have Prevented Even More Deaths,250,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,8,8
27,Army National Guard soldiers who miss vaccine deadline face expulsion,428,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,5,10
34,US Forest Service report identifies several failings in planning of New Mexico prescribed burn,609,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,13,14
37,A Greener Alternative to Lawns? Experts say it's time to rethink our love of grass,723,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,12,15
46,More options for COVID  vaccines coming soon,213,LThoEJBs8INX22KfDMJT09LBP8F2,4,9,7
53,Earliest Evidence of Wildfire Found in Charred Remnants from  Million Years Ago,367,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,15,12
58,Federal official warns of water shortage crisis for  states,204,LThoEJBs8INX22KfDMJT09LBP8F2,4,14,9
65,UN urges Libya factions to agree on measures for transition to elections,437,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,3,12
69,Climate change to blame for increase in extreme weather events,208,LThoEJBs8INX22KfDMJT09LBP8F2,4,11,10
73,Qatar's emir arrives in Cairo for talks with Egypt's president on bilateral relations,480,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,0,13
80,Fertilizer Shortage Threatens African Farmers,492,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,4,5
89,Ongoing drought causes water scarcity in Western US,216,LThoEJBs8INX22KfDMJT09LBP8F2,4,10,8
94,Largest bacteria species ever discovered challenges what we know about microbes,248,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,18,11
99,COVID  restrictions slowly loosening in Japan for return of foreign tourists,735,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,7,11
102,-Boris Johnson's Brexit Bill Survives Challenge in House of Commons,92,7vtosds1eTQWx6qaDn5FwExnVR63,4,1,10
109,New Technology to Help map the World's Oceans,460,lSToD6u7LuZJk20NqhMUk3jy22S2,4,16,8
119,Fossils provide new insights into human evolution,316,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,19,7
0,It's time to rethink the American lawn,249,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,12,7
8,Stunningly preserved mammoth calf discovered in Canada,371,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,17,7
13,FDA to debate updated COVID booster shots amid concerns of variant spread,98,7vtosds1eTQWx6qaDn5FwExnVR63,4,6,12
18,Tory MPsDivided Over Boris Johnson's Bill to Override Brexit Deal,490,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,1,10
26,Seabed : Map the Gap Strategy Aims to Complete Picture of Earth's Ocean Bottom,247,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,16,14
33,Qatari Emir meets with President el-Sissi to discuss regional issues,253,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,0,10
36,Fertilizer Shortage Leaves Farmers Struggling to Keep Crops Alive,424,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,4,9
42,Federal official warns of water shortages in Western US due to drought,313,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,14,12
50,Army National Guard commanders given discretion over unvaccinated troops,218,LThoEJBs8INX22KfDMJT09LBP8F2,4,5,9
57,Kansas Cows Killed by Record-Breaking Heat Wave,488,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,11,7
65,Indirect talks between Iran and the US end without breakthrough,311,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,2,10
71,Newly discovered bacteria is the biggest ever seen,375,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,18,8
73,Japan gradually relaxes COVID restrictions to allow limited number of foreign tourists,212,LThoEJBs8INX22KfDMJT09LBP8F2,4,7,12
83,"-COVID vaccines prevented catastrophic outcomes, new study finds",82,7vtosds1eTQWx6qaDn5FwExnVR63,4,8,8
87,New COVID vaccines offer more options and longer protection,256,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,9,9
90,Ancient Charred Remains Reveal Evidence of Earliest Wildfire,87,7vtosds1eTQWx6qaDn5FwExnVR63,4,15,8
98,UN Urges Libya to Hold Elections at Earliest Possible Date,306,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,3,10
105,US Forest Service employees made several mistakes in planning New Mexico controlled burn,258,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,13,13
108,"-Reservoir levels in Colorado River dwindle, water shortages expected",241,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,10,9
114,Early human ancestors found in South African cave date back  million years,497,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,19,12
5,Theresa May Slams Boris Johnson's Plan to Override Brexit Deal,734,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,1,10
11,Qatar and Egypt Form Closer Ties After  Rift,426,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,0,8
13,"COVID vaccines prevented  million deaths in India,  million in US",732,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,8,10
18,Japan Braces for Return of Foreign Tourists,300,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,7,7
25,Wet Bulb Effect: The science behind this week's dangerous heat wave,259,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,11,11
35,Charcoal Evidence Pushes Earliest Evidence for Wildfire Back  Million Years,257,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,15,10
36,Climate Change Megadrought: Western US Suffers Through Worst Drought in  Years,476,lSToD6u7LuZJk20NqhMUk3jy22S2,4,10,11
43,Talks between Iran and US end without breakthrough,362,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,2,8
49," Drought continues to plague Western US, water shortages to intensify",465,lSToD6u7LuZJk20NqhMUk3jy22S2,4,14,10
56,Forest Service Chief: Climate Change Leading to More Intense Wildfires,88,7vtosds1eTQWx6qaDn5FwExnVR63,4,13,10
64,Scientists urge Americans to rethink their love of lawns,310,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,12,9
70,Hopes for Long-Awaited Libyan Elections Rise After Productive Talks,731,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,3,9
73,Updated COVID  Shots Show Promise Against Recent Variants,378,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,6,8
79,Autonomous Ships May Help Map Hard-To-Reach Areas of Seafloor,720,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,16,9
84,Army National Guard vaccine deadline passes with many soldiers unvaccinated,737,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,5,10
93,New COVID  Vaccines Promise Enhanced Protection Against Viral Variants,616,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,9,9
100,Stunningly Preserved Mammoth Calf Found In Permafrost,604,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,17,7
105,Scientists discover new species of giant bacteria,429,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,18,7
110,Burial dating could help better chronicle human evolution,602,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,19,8
115,Fertilizer shortage leaves African farmers scrambling,377,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,4,6
3,Drought causes water shortages across the West,317,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,10,7
8,Qatar's Emir Arrives in Cairo for Talks With President,729,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,0,9
16,UN Ocean Conference: Mapping the World's Oceans for Navigation and Conservation,379,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,16,11
18,Fertilizer Shortage Threatens Food Supply Across Africa,617,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,4,7
29,Is your manicured lawn contributing to climate change?,498,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,12,8
34,Army National Guard Vaccination Deadline Passes with Thousands Still Unvaccinated,472,lSToD6u7LuZJk20NqhMUk3jy22S2,4,5,10
39,New burial dating technique sheds light on human evolution,364,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,19,9
44," COVID  vaccines still effective, but booster shots needed to extend protection",80,7vtosds1eTQWx6qaDn5FwExnVR63,4,9,11
51,Federal official warns of water shortages due to ongoing drought,486,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,14,10
58," Japan Gradually Loosens COVID Restrictions, Allowing Limited Numbers of Foreign Tourists",473,lSToD6u7LuZJk20NqhMUk3jy22S2,4,7,11
62,"COVID vaccines averted  million deaths, says new study",318,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,8,8
70,-Wildfire evidence pushs back date of earliest fire by  million years,484,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,15,11
76,Stunningly Preserved Woolly Mammoth Remains Found in Permafrost,436,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,17,8
78,Scientists discover new giant bacteria species in the Caribbean,215,LThoEJBs8INX22KfDMJT09LBP8F2,4,18,9
89,UN Hopeful for Upcoming Libyan Elections Amidst Factions' Contention,607,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,3,9
94,Prescribed Burn in New Mexico Ignites into Largest Wildfire in State's History,726,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,13,12
96,UK Prime Minister Boris Johnson's Bill to Override Brexit Deal Passes First Legislative Hurdle,435,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,1,14
103,FDA to decide on updated COVID booster shots within days,202,LThoEJBs8INX22KfDMJT09LBP8F2,4,6,10
108," Iran Nuclear Talks End in Stalemate, Risking Confrontation",733,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,2,8
117,Study warns of Earth's 'unprecedented' climate shift,376,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,11,7
5,Qatari and Egyptian Leaders Meet to Discuss Key Issues,697,uA2ctpMlrPWUQyFhAUak6O0xDEz1,5,0,9
9," UN urges Libya's rivals to agree on elections this week
",224,LoDaQFokdGWa9TWBH61EBRf6Q272,5,3,10
14,Tanzania farmers struggle to keep crops alive amid global fertiliser shortage,700,uIQjNU1bgVfp0K8B7po65McKCZF2,5,4,11
21,Well Preserved Baby Woolly Mammoth Found in Yukon,750,wyugVT2NFeZtWKOKQ2UpJ5eUF5q2,5,17,8
27,Army National Guard soldiers must be vaccinated for Covid before deadline!,402,Z27Gbj2CLgfRR7JAncHW4raowdB2,5,5,11
34,New Variants Push Moderna and Pfizer Update COVID Booster Shots,112,AtwFIMCkpLTdyT6zSPsQSMao2uj2,5,6,10
38,Iran Nuclear Talks End Without Breakthrough,184,IUccO19kQBYLnovtvPkCbJuUIZ22,5,2,6
47," UK moves forward with plans to override Brexit deal, provoking renewed legal action from EU ",749,wyugVT2NFeZtWKOKQ2UpJ5eUF5q2,5,1,15
51,-Drought in the West Threatens Water Supply for Millions,696,uA2ctpMlrPWUQyFhAUak6O0xDEz1,5,14,9
55,UN Conference Told Progress Made in Mapping Ocean Floor,153,CHPvD2GusIUzZFAkiOpoRaDU1rE3,5,16,9
61,-COVID vaccines prevent millions of deaths worldwide,347,XejxEr2oK8Xk9CTJhxXZwKyEzL73,5,8,7
67,Scientists Discover Bacteria That Grow Up to the Size of a Human Eyelash,414,Z27Gbj2CLgfRR7JAncHW4raowdB2,5,18,13
76,Climate change: Lawns are a bigger problem than you think,115,AtwFIMCkpLTdyT6zSPsQSMao2uj2,5,12,10
78,megadrought creates water scarcity crisis in the West,708,uIQjNU1bgVfp0K8B7po65McKCZF2,5,10,8
85,New study puts human ancestor Lucy and early hominins from Sterkfontein Caves within same time frame,408,Z27Gbj2CLgfRR7JAncHW4raowdB2,5,19,16
93,Climate change made controlling New Mexico wildfire much harder than expected,752,wyugVT2NFeZtWKOKQ2UpJ5eUF5q2,5,13,11
100," COVID  restrictions gradually loosening in Japan, bringing back tourists",405,Z27Gbj2CLgfRR7JAncHW4raowdB2,5,7,9
102,Kansas cattle veterinarian: Heat wave a 'true weather event',693,uA2ctpMlrPWUQyFhAUak6O0xDEz1,5,11,9
113,Giant Fungi Forest Burns in Ancient Wildfire,356,XejxEr2oK8Xk9CTJhxXZwKyEzL73,5,15,7
118,-New vaccines on the way to extend COVID  protection,229,LoDaQFokdGWa9TWBH61EBRf6Q272,5,9,9
5,Global fertilizer shortage threatens African farmers,751,wyugVT2NFeZtWKOKQ2UpJ5eUF5q2,5,4,6
7,Indirect Iran-US talks end without breakthrough,236,LoDaQFokdGWa9TWBH61EBRf6Q272,5,2,6
14,Mapping the ocean floor: a crucial step in safeguarding our planet's future,692,uA2ctpMlrPWUQyFhAUak6O0xDEz1,5,16,12
18,Study says heat-related weather events linked to climate change,150,CHPvD2GusIUzZFAkiOpoRaDU1rE3,5,11,9
25,Drought Strains Seven-State Colorado River,409,Z27Gbj2CLgfRR7JAncHW4raowdB2,5,10,5
30,Federal official warns of water cuts to Western states due to diminished Colorado River reservoirs,103,AtwFIMCkpLTdyT6zSPsQSMao2uj2,5,14,15
39,Japan Braces for Return of Foreign Tourists Amidst COVID  Concerns,353,XejxEr2oK8Xk9CTJhxXZwKyEzL73,5,7,10
45,Controlled Burn in New Mexico Escalates into Largest Fire in State History,192,IUccO19kQBYLnovtvPkCbJuUIZ22,5,13,12
