,headline,rank,comment,participant,sequence,global_index,index,con,newsOrder,word_count
82,Deadline passes and 1 in 10 Army National Guard soldiers still unvaccinated for Covid. Will they be expelled?,,,19,13,805,original,0,5,18
83,Army National Guard unvaccinated troops face potential expulsion; many commanders may allow troops to continue receiving pay and benefits,,,19,13,22,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,5,19
84," Giant fungi responsible for ancient wildfires, new evidence shows",1,"Attractive, clear, and simple headline",19,14,677,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,15,9
85,Ancient charred remains found.,6,Unclear missing key information,19,14,278,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,15,4
86,oldest evidence of wildfire found in south Wales,4,Accurate and clear but lacks attractiveness,19,14,209,LThoEJBs8INX22KfDMJT09LBP8F2,4,15,8
87,New evidence suggests that wildfires were present on Earth 430 million years ago.,2,Attractive and clear but is missing key information,19,14,835,gpt3,1,15,13
88,Earliest evidence of wildfire found in Wales,5,Accurate and clear but lacks attractiveness,19,14,815,original,0,15,7
89,Evidence of ancient wildfire pushes back the date for the earliest fires on Earth,3,"Good in taste, clear, and accurate but lacks attractiveness ",19,14,757,wyugVT2NFeZtWKOKQ2UpJ5eUF5q2,5,15,14
90," Home Lawns contribute to climate change, water pollution",6,Unattractive and unclear,19,15,144,CHPvD2GusIUzZFAkiOpoRaDU1rE3,5,12,8
91,A Greener Alternative to Lawns? Experts say it's time to rethink our love of grass,2,Attractive and good in taste but clarity,19,15,723,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,12,15
92,"Leaf blowers, lawn mowers and fertilizer: How lawns contribute to climate change",4,Clear but bad in taste,19,15,812,original,0,12,12
93,Why American Lawns Are Bad for the Environment,5,Bad in taste and unattractive,19,15,832,gpt3,1,12,8
94,Lawns and Their Maintenance Contribute to Climate Change Danger,3,Clear and simple but lacks attractiveness,19,15,395,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,12,9
95,Want to Help the Environment? Start by Rethinking Your Lawn,1,"Clear, simple, and attractive",19,15,449,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,12,10
96,COVID  restrictions slowly easing for foreign tourists in Japan,1,"Clear, accurate, and simple ",19,16,237,LoDaQFokdGWa9TWBH61EBRf6Q272,5,7,9
97,Japan Braces for Return of Foreign Tourists,2,Clear and simple but lacks information,19,16,300,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,7,7
98,"As COVID fears ebb, Japan readies for tourists from abroad",4,Accurate but bad in taste,19,16,807,original,0,7,10
99,Japan Braces for Return of Foreign Tourists with English-Speaking Rickshaw Drivers,5,Attractive but lacks clarity,19,16,827,gpt3,1,7,11
100,Daikichi kimono rental shop in Asakusa thrilled at the prospect of foreign visitors returning,6,Attractive but lacks clarity,19,16,774,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,7,14
101,Japan to Slowly Open Up To Tourists,3,Accurate but unattractive,19,16,512,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,7,7
102,Nearly a quarter of Earth's seafloor now mapped,3,Attractive but unclear,19,17,816,original,0,16,8
103,Sea Maping Update from the UN Conference,2,"Clear, simple, and accurate ",19,17,524,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,16,7
104,"""23.4% of the Global Ocean Floor Has Been Mapped""",4,Attractive but unclear,19,17,836,gpt3,1,16,9
105,Robot Boats May Help Map the Ocean Floor,6,Inaccurate information,19,17,573,qiebo7O3TBach9qu1AqrWu2cAB23,3,16,8
106,Ocean Floor Mapping Progresses Slowly But Surely,5,Unclear but attractive,19,17,221,LoDaQFokdGWa9TWBH61EBRf6Q272,5,16,7
107,UN Ocean Conference: Mapping the World's Oceans for Navigation and Conservation,1,"Clear, sample, and attractive ",19,17,379,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,16,11
108,Burial dating method reveals early human fossils are older than previously thought,1,"Accurate, clear, and attractive headline",19,18,707,uIQjNU1bgVfp0K8B7po65McKCZF2,5,19,12
109,"""Burial Dating"" sheds new light on new remains of Human ancestors thought to date back almost 4 million years.",,5,19,18,587,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,19,19
110,Ancient fossils in the 'Cradle of Humankind' are more than 1 million years older than previously thought,,4,19,18,819,original,0,19,17
111," Using burial dating, researchers find that early human ancestors lived  million years ago",2,Clear and accurate but lacks attractiveness,19,18,84,7vtosds1eTQWx6qaDn5FwExnVR63,4,19,13
112,Computer Science Helps Solve Ancient Puzzle,6,Unclear and inaccurate information,19,18,552,pYsoPM0aang4pLBPqHbUlrc285Y2,3,19,6
113,researchers use burial dating to accurately date early human fossils,3,Clear and accurate but unattractive,19,18,839,gpt3,1,19,10
114,FDA to discuss fall COVID-19 booster recommendations,5,Clear but unattractive,19,19,54,7WX00yoU07X1UKaG8WH0cYKB25S2,2,9,7
115,Should you get a COVID-19 booster shot now or wait until fall? Two immunologists help weigh the options,,1,19,19,809,original,0,9,18
116,More options for COVID  vaccines coming soon,6,Unattractive and unclear,19,19,213,LThoEJBs8INX22KfDMJT09LBP8F2,4,9,7
117,New COVID  vaccines on the way to provide even more protection against the virus,2,"Clear, accurate, and good in taste but lacks attractiveness",19,19,701,uIQjNU1bgVfp0K8B7po65McKCZF2,5,9,14
118,New COVID-19 vaccines on the way: Which one should you choose?,3,Clear but bad in taste,19,19,829,gpt3,1,9,11
119,New bivalent vaccines from Moderna and Pfizer-BioNTech to compete in market this fall,4,Attractive but unclear,19,19,295,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,9,13
0,Charcoal Traces Suggest Giant Fungi Burned in Ancient Wildfire,5,"While informative and not false, this headline makes no mention of the wildfire evidence being the oldest recorded. ",5,0,766,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,15,9
1,Evidence of 430-million-year-old wildfire uncovered in South Wales,1,"Exciting, precise, and concise. ",5,0,719,uIQjNU1bgVfp0K8B7po65McKCZF2,5,15,8
2,Ancient Charcoal Data Reveals Vegetation and Atmosphere 400 Million Years Ago,6,"The word choice is interesting--good use of ""ancient"" and ""reveals"". However, rounding down to 400 million years makes this less precise than some alternative headlines. ",5,0,11,4G2vztY28Fee0nAkx43fXlepBSg1,2,15,11
3,Earliest evidence of wildfire found in Wales,3,This is a truthful and concise headline although less precise than some alternatives.,5,0,815,original,0,15,7
4,oldest evidence of wildfire found in south Wales,2,This is a concise and truthful headline that can draw one's curiosity to read further.,5,0,209,LThoEJBs8INX22KfDMJT09LBP8F2,4,15,8
5,New evidence suggests that wildfires were present on Earth 430 million years ago.,4,"While factually sound, this headline is less concise than the alternatives. ",5,0,835,gpt3,1,15,13
6,Africa at High Risk for Food Scarcity Due to Fertilizer Shortage,1,This is a concise and accurate headline with good attention-drawing words. Broadly reflects the content of the text as opposed to mentioning only one country or party.,5,1,770,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,4,11
7,Fertilizer shortage leaves farmers struggling to keep crops alive,4,"Concise, attention-drawing headline--however less precise than some alternatives, doesn't mention important parties and their unique position (African countries and farmers residing in them). ",5,1,739,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,4,9
8,Tanzanian Farmers Struggle to Keep Crops Alive Amid Fertilizer Shortage,5,"This headline doesn't completely capture the content of the text, which discusses the struggle and position of other countries in the context of the fertilizer shortages. ",5,1,403,Z27Gbj2CLgfRR7JAncHW4raowdB2,5,4,10
9,Fertiliser shortage hits African farmers battling food crisis,2,"Good, concise headline with pretty accurate and descriptive word choice--but there is a potential taste issue. My only reservation is that it implies all of the farmers are African whereas the text cites a farmer with an Italian name in Tanzania. It may be possible that foreign farmers reside in Africa for their business/livelihood. ",5,1,804,original,0,4,8
10,"Global Tensions Impact Fertilizer Market, Potentially Fueling Food Scarcity",3,This is an informative headline--however it would be more precise to emphasize that African countries are at especially high risks of experiencing consequences from fertilizer shortages.,5,1,15,4G2vztY28Fee0nAkx43fXlepBSg1,2,4,9
11,Tanzania farmers struggling to keep crops alive amid global fertiliser shortage,6,"I ranked this last because I believe ""Tanzanian [Farmers]"" is better than ""Tanzania [farmers]"". ",5,1,824,gpt3,1,4,11
12,Intact wooly mammoth baby uncovered in northwestern Canada,5,"Relatively concise headline--although less exciting and precise word choice (""uncovered"" vs. ""found"") than the alternatives. ",5,2,817,original,0,17,8
13," Nun cho ga, Preserved Woolly Mammoth calf found in Canada ",2,"Good use of the indigenous name--however would add ""the"" after the comma so as to clearly imply that it's the name of the wooly mammoth. ",5,2,781,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,17,10
14,"30,000-year-old baby woolly mammoth found in Canada",1,"Exciting, precise, and concise headline. The only headline that shows the age of the remains in years. ",5,2,837,gpt3,1,17,7
15,Baby woolly mammoth found frozen in permafrost in Canada,3,"Precise and concise headline--would offer a great combination if it included the age of the remains (30,000 years).",5,2,417,Z27Gbj2CLgfRR7JAncHW4raowdB2,5,17,9
16,Ice Age Baby Mammoth Found in Stunningly Preserved Condition,4,"Good word choices, although less precise than other alternatives. ",5,2,721,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,17,9
17,Whole Preserved Baby Wolly Mammoth Found in Canada,6,Headline not exactly truthful because the text states that less than a whole body was found.,5,2,501,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,17,8
18,Thousands of Cows Dead in Kansas Amid Record-Breaking Heat Wave,4,"Attention-drawing headline, does a good job describing the gravity of the situation--but doesn't reflect the entirety of the text. ",5,3,673,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,11,10
19,Climate change is already wreaking havoc on our world,3,Concise but a bit vague.,5,3,468,lSToD6u7LuZJk20NqhMUk3jy22S2,4,11,9
20,"It's not summer yet, but climate change is already showing its teeth in 2022",5,Attention-drawing headline but potentially distasteful.,5,3,811,original,0,11,14
21,"Climate change causing extreme weather, deadly humidity",2,"Concise, attractive, good clarity. ",5,3,40,7WX00yoU07X1UKaG8WH0cYKB25S2,2,11,7
22,Severe Weather From Climate Change Wreaks Havoc Across the Midwest,6,Attractive word choice although not exactly precise--the places discussed are not all located in the midwest.,5,3,228,LoDaQFokdGWa9TWBH61EBRf6Q272,5,11,10
23,Climate Change Disasters Pile Up as Temperatures Continue to Rise,1,The right combination of attention-drawing and clarity. The reader is made aware of the urgency of the matter.,5,3,831,gpt3,1,11,10
24,Researchers use burial dating to accurately date early human fossils,4,Accurate although boring headline.,5,4,722,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,19,10
25,Burial Dating Method Could Help Better Chronicle Human Evolution,3,Accurate and interesting headline with good word choice.,5,4,664,u5XZg2dMCLUHIVhZ0i9TZIesPx43,3,19,9
26,Burial Dating Shows Early Human Fossils Are Older Than Previously Thought,2,"This is an accurate and clear headline, although less exciting without the stated age of the remains shown.",5,4,186,IUccO19kQBYLnovtvPkCbJuUIZ22,5,19,11
27,Ancient fossils in the 'Cradle of Humankind' are more than 1 million years older than previously thought,6,"Long, weaker in taste and not as concise as the alternatives. ",5,4,819,original,0,19,17
28,researchers use burial dating to accurately date early human fossils,5,"While not false, this headline is boring compared to the alternatives.",5,4,839,gpt3,1,19,10
29,Burial dating says South African human ancestors lived 3.7 million years ago,1,Exciting and precise headline,5,4,49,7WX00yoU07X1UKaG8WH0cYKB25S2,2,19,12
30,"COVID vaccines saved 20M lives in 1st year, scientists say",6,Not a precise or tasteful headline.,5,5,808,original,0,8,10
31,Study finds COVID vaccines prevented nearly 20 million deaths in first year,1,"The most accurate headline with the right combination of exciting, descriptive, and useful words. ",5,5,705,uIQjNU1bgVfp0K8B7po65McKCZF2,5,8,12
32,Researchers Agree Covid-19 Vaccines Saved Millions of Lives,3,"Broadly accurate and somewhat exciting headline, but not as precise as some alternatives. ",5,5,7,4G2vztY28Fee0nAkx43fXlepBSg1,2,8,8
33,Millions more deaths could have been prevented if vaccination targets had been met,5,Not as concise as the alternatives.,5,5,559,pYsoPM0aang4pLBPqHbUlrc285Y2,3,8,13
34," , Additional Deaths Could Have Been Prevented If Vaccination Coverage Target Had Been Met",4,Boring headline.,5,5,427,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,8,14
35,Nearly 20 million lives saved by COVID-19 vaccines in first year,2,"This is a relatively accurate, precise, and exciting headline--but it would be more truthful to imply that this the conclusion of a study group.",5,5,828,gpt3,1,8,11
36,Army National Guard unvaccinated troops face potential expulsion; many commanders may allow troops to continue receiving pay and benefits,4,Less concise than the alternatives.,5,6,22,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,5,19
37,Deadline passes and 1 in 10 Army National Guard soldiers still unvaccinated for Covid. Will they be expelled?,3,"Exciting and accurate, but potentially distasteful. ",5,6,805,original,0,5,18
38,Army National Guard facing contentious deadline for Covid vaccine,1,I think this is the best headline because it implies that the deadline is controversial and not a finished matter.,5,6,231,LoDaQFokdGWa9TWBH61EBRf6Q272,5,5,9
39,Army National Guard Faces Recruiting Crisis Amid Covid Vaccine Deadline,5,"While not false, misses the fundamental point of the text which is about vaccination among armed forces.",5,6,825,gpt3,1,5,10
40,National Army Guard Demands Soldiers to be Vaccinated against Covid-19,2,"This is a solid headline, although could be more precise.",5,6,536,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,5,10
41,Many Unvaccinated Soldiers Face Expulsion from Army National Guard,6,Not entirely accurate or tasteful--the text implies that it is not necessarily clear whether refusing vaccination leads to expulsion. It only mentions a possibility.,5,6,493,m7KQ8g7gWlSVWMijbFfWYvT4PCt1,4,5,9
42,Indirect Talks Between Iran and U.S. End Without Breakthrough,4,"Accurate headline, although not as precise and more boring than some alternatives. ",5,7,822,gpt3,1,2,9
43,Indirect talks between Iran and the US end without breakthrough,5,"Accurate headline, although not as precise and less exciting--also prefer the US being abbreviated without the word ""the"" for a headline. ",5,7,283,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,2,10
44,US and Iran at Stalemate in Nuclear Deal Talks,3,"Solid headline, good use of the word ""stalemate"" but less exciting than some alternatives. ",5,7,240,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,2,9
45,U.S.-Iran talks fail to revive nuclear deal,2,"The clearest and most readable headline, but not as precise without mention of the location of the talks (Qatar).",5,7,324,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,2,7
46,Biden administration considering 'Plan B' options if diplomacy fails to salvage nuclear deal,6,"Long, potentially distasteful headline because it immediately directs the reader to a hypothetical scenario.",5,7,135,CFhnIRlNuSSnz5UpZM17jMA3pUg1,5,2,13
47,U.S.-Iran nuclear negotiations in Qatar end without breakthrough,1,The most accurate and attractive headline--not too long.,5,7,802,original,0,2,8
48,Libya's Rival Factions Agree To Meet About Terms for Upcoming Election,6,Misleading headline--the text does not imply that a hard agreement has been reached.,5,8,706,uIQjNU1bgVfp0K8B7po65McKCZF2,5,3,11
49,UN urges Libya's rivals to agree on elections this week,5,"Misleading headline--""this week"" could be interpreted as a deadline being established when it has not.",5,8,803,original,0,3,10
50,UN political chief urges Libyan factions to agree on measures for forthcoming elections,4,Broadly accurate headline although less concise than the alternatives. Puts too much emphasis on an individual from the UN.,5,8,165,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,3,13
51,"After Years of Conflict, Libya Continues Talks of Elections Mediated by U.N.",1,"This is a reasonable headline and in my opinion the one with the least potential to insult readers. A potential downside is that it fails to convey that there are multiple parties acting as the current authority representing Libya. While this may be an issue, it also may be distasteful to refer to Libya as ""rival factions"". ",5,8,5,4G2vztY28Fee0nAkx43fXlepBSg1,2,3,12
52,UN Urges Libya Rival Factions to Agree on Election Measures,4,Concise but misleading because the text does not imply a hard agreement was reached.,5,8,252,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,3,10
53,Libya's Rival Factions Urged to Reach Agreement on Elections,3,"Solid headline, but less precise than alternatives--doesn't mention the UN.",5,8,823,gpt3,1,3,9
54,Mixing COVID19 Vaccine Types Found Effective Strategy for Boosting,5,"Although true, misses the fundamental news about new incoming vaccines.",5,9,627,s4wcn5qAGNXbBA81IwDOZEdbNJU2,2,9,9
55,New vaccines on the way to extend protection against COVID sub variants,2,Good clarity.,5,9,137,CFhnIRlNuSSnz5UpZM17jMA3pUg1,5,9,12
56,New bivalent vaccines announced by Moderna and Pfizer-BioNTech,1,"Good clarity, reflects the core content of the text. ",5,9,170,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,9,8
57,New COVID  vaccines offer stronger protection against variants,4,"Potentially inaccurate headline--since the vaccines are still in development, it is not yet proven that they indeed offer stronger protection.",5,9,304,RZI4FdNDcbgodjwzKAXc9so6YDW2,4,9,8
58,New COVID-19 vaccines on the way: Which one should you choose?,3,Attractive headline but potentially distasteful--not all readers will be enthusiastic about the vaccine.,5,9,829,gpt3,1,9,11
59,Should you get a COVID-19 booster shot now or wait until fall? Two immunologists help weigh the options,6,Too long.,5,9,809,original,0,9,18
60," Scientists find bacteria with internal membranes, encased DNA",5,Misses an exciting part of the text (visible to the human eye!).,5,10,654,sMExRMBJO2MNl0xTfoKBQwuWYIG3,3,18,8
61,New species of bacteria discovered that is visible to the naked eye,2,Exciting and clear headline--does not mention that it was discovered by scientists.,5,10,724,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,18,12
62,Scientists discover bacteria species visible to naked eye,1,"Exciting, concise and accurate headline. ",5,10,337,Wx36eLMUh5MenqUT6Un7QYDhP5c2,2,18,8
63,Scientists Discover New Bacteria That's the Size of a Human Eyelash,3,Interesting headline but a less ideal combination than some alternatives.,5,10,838,gpt3,1,18,11
64,Bacteria the size of human eyelashes found in Caribbean mangroves,4,"Potentially confusing headline--comparisons to eyelashes can be misleading because not all eyelashes are the same size. In this case, the comparison is not clear in how many eyelashes are being referred to for comparison. In my opinion it's better to avoid these comparisons.",5,10,754,wyugVT2NFeZtWKOKQ2UpJ5eUF5q2,5,18,10
65,Photo shows newly-discovered bacteria so large they are visible to the naked eye,6,Potentially misleading--would only work if a photo was included.,5,10,818,original,0,18,13
66,"""Federal Official Warns of Severe Water Shortages in Western US""",4,"Attractive headline, but puts a lot of emphasis on a federal official. Not sure whether the quotation marks are necessary.",5,11,830,gpt3,1,10,10
67,Moment of reckoning:' Federal official warns of Colorado River water supply cuts,2,"Attractive word choices. Good detail, reflects the text. 'Moment of reckoning' may be considered distasteful by some.  ",5,11,810,original,0,10,12
68,Federal officials warn of water shortages in western US,3,Concise but not as precise as some alternatives.,5,11,223,LoDaQFokdGWa9TWBH61EBRf6Q272,5,10,9
69,Ongoing drought causes water scarcity in Western United States,5,Vague.,5,11,433,cOwKyYY29hRbhE9JwZyRBaPNgna2,4,10,9
70,Climate Change Affecting Water Supply due to Diminishing Colorado River,1,Great clarity and relevant details included.,5,11,518,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,10,10
71," Drought Conditions Worsen, Reservoirs Drop to Critical Levels",6,Vague.,5,11,29,7JxCyzwb75XSvEX7Bd8owuOlaPN2,3,10,8
72,Borris Johnson's Brexit Override Causes Controversial Opinions among World Leaders,6,"Confusing, potentially misleading. ",5,12,529,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,1,10
73,UK Plan to Override Brexit Deal Passes Hurdle With Tory Dissent,2,"Attractive headline, very solid.",5,12,801,original,0,1,11
74,Boris Johnson's Brexit Bill Moves Forward Despite Opposition,1,Great clarity--good detail explained very concisely.,5,12,363,YhliNBQ7AXhv9ccM5JCdenUVv0u1,4,1,8
75,Boris Johnson's Bill to Override Brexit Deal Faces Criticism from MPs,3,"While true, this is a vague headline because it doesn't suggest how many or what proportion of MPs in parliament. ",5,12,768,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,1,11
76,Bill to Amend Brexit Deal Passes Second Reading in House of Commons,4,Doesn't capture the entirety of the text.,5,12,141,CHPvD2GusIUzZFAkiOpoRaDU1rE3,5,1,12
77,"Boris Johnson Proposes Bill to Override Brexit Deal, Causing divisions Within Tory Party",5,"Long, confusing. Doesn't reflect the entirety of the text. ",5,12,821,gpt3,1,1,13
78,Qatar Signs $ Billion Investment Deal with Egypt,6,Misleading--makes old news sound like it just occurred.,5,13,613,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,0,8
79,Qatar's emir in Cairo for 1st time since Arab spat resolved,2,"Solid headline--although I would change ""1st"" to ""first"". ",5,13,800,original,0,0,11
80,Egypt and Qatar Seek to Improve Relations Ahead of Biden's Middle East Trip,3,"Good clarity, reflects a great deal of the content of the text. May be somewhat distasteful to elevate Biden as an equally important party as Egypt and Qatar. The text is discussing a bilateral relationship between Egypt and Qatar.  ",5,13,105,AtwFIMCkpLTdyT6zSPsQSMao2uj2,5,0,13
81,Qatar's Emir Arrives in Cairo for Talks with President el-Sissi,1,"Simple, concise headline with good clarity. ",5,13,820,gpt3,1,0,10
82,Qatar and Egypt to discuss regional issues ahead of President Biden's anticipated trip to the Middle East,4,Long.,5,13,441,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,0,17
83,Egypt summit becomes center stage as relations brighten between Qatar and rival Arab states.,5,"Long, confusing. ",5,13,580,rAr3YBThR4V4YjEjdQMlgbDh3u82,2,0,14
84,New Booster Shots Could Offer More Protection Against COVID Variants,5,"Use of ""could"" makes it hypothetical. ",5,14,181,IUccO19kQBYLnovtvPkCbJuUIZ22,5,6,10
85,US health authorities to debate updated COVID booster shots,4,"Good clarity, a little less exciting than most alternatives. ",5,14,254,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,6,9
86,U.S. health authorities debate offering new COVID-19 booster shots to better match recent changes in the shape-shifting coronavirus.,6,Too long.,5,14,826,gpt3,1,6,18
87,US grapples with whether to modify COVID vaccine for fall,3,"Attractive, good clarity. ",5,14,806,original,0,6,10
88,Will the new and improved Covid-19 boost shots be released this fall?,1,"Attractive headline, good clarity. ",5,14,267,PGukHs4VgoemVfQ8IXeBB4GNrxn2,2,6,12
89," Scientists Urge for Better, More Variant-Proof Vaccines",5,"Vague, boring. ",5,14,765,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,6,7
90,Japan gradually relaxes restrictions on foreign visitors,3,"Solid, concise headline but less precise without mention of COVID.",5,15,244,NyunC9C1PYUuRhhMEXBz1YCdMQ02,4,7,7
91,Japan Incrementally Reopens to Foreign Visitors after COVID-19,2,The right combination of clarity and accuracy.,5,15,1,4G2vztY28Fee0nAkx43fXlepBSg1,2,7,8
92,Japan Braces for Return of Foreign Tourists with English-Speaking Rickshaw Drivers,5,Distasteful because it implies rickshaws are the only tourist attraction in Japan.,5,15,827,gpt3,1,7,11
93,The Japanese tourism industry post-COVID,4,Concise but boring headline compared to some alternatives,5,15,282,Q7vRyymjPXPsRTFcFU1pLE6s1Q63,3,7,5
94,"As COVID fears ebb, Japan readies for tourists from abroad",1,Great word choice and clarity--further information of specific measures is in the text and the reader's attention is already drawn by this headline.,5,15,807,original,0,7,10
95," In Preparation for Foreign Tourists' Return, Japanese Rickshaw Men Add English-Speaking Staff ",6,Distasteful and long--implies rickshaws are the sole tourist attraction in Japan.,5,15,125,CFhnIRlNuSSnz5UpZM17jMA3pUg1,5,7,12
96,Federal Official: Seven States Will Need to Significantly Reduce Colorado River Water Use Next Year,3,Solid headline--although it puts a great deal of emphasis on just one individual.,5,16,728,wBQfNRgqvPXLhj8GHPSa7Utdcw03,4,14,15
97,States are Working to Save Colorado River from Drought,4,Potentially misleading--spins the situation in an unrealistically positive manner.,5,16,538,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,14,9
98,Moment of reckoning:' Federal official warns of Colorado River water supply cuts,2,"Attractive word choices. Good detail, reflects the text. 'Moment of reckoning' may be considered distasteful by some.  ",5,16,814,original,0,14,12
99,Federal Official Warns of Looming Water Shortages,5,"Vague, doesn't reflect the content of the text very much.",5,16,787,zcTj1C8lA5hhXbeimKr2rjgIfWu2,3,14,7
100,Drought in the West: Seven states to see reduced water allotments next year,1,Attractive and very readable.,5,16,703,uIQjNU1bgVfp0K8B7po65McKCZF2,5,14,13
101,Revelation at Senate Hearing: Seven-State Drought crisis caused by Climate Change,6,Too long.,5,16,834,gpt3,1,14,11
102,-Lawns contribute to water pollution and climate change,3,Factually sound headline but less exciting than alternatives. Doesn't emphasize the proportion of pollution lawn care is responsible for.,5,17,603,rudzUe7r3LQRoyXDq2DnFEeLcnf1,4,12,8
103,Is your lawn harming the planet? Scientists say it's time to rethink our obsession with grass,2,"Exciting, provocative headline. Although long, the importance of the issue justifies it. ",5,17,686,uA2ctpMlrPWUQyFhAUak6O0xDEz1,5,12,16
104,Mowing Your Lawn? It Might be Time to Stop,3,"Interesting, attention-drawing headline but incomplete. Doesn't explain that the lawn itself is a major stressor to the environment in addition to the act of mowing. ",5,17,510,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,12,9
105,"Leaf blowers, lawn mowers and fertilizer: How lawns contribute to climate change",5,Less concise than many alternatives.,5,17,812,original,0,12,12
106," The dark side of the American lawn: pollution, climate change, and loss of biodiversity",6,Long and disappointingly neutral,5,17,779,y4Jkz9bu0IfHkFpBhXhTmcYiV0h1,3,12,14
107,Why American Lawns Are Bad for the Environment,1,"Perhaps the best combo: concise, great clarity, and attention-grabbing. ",5,17,832,gpt3,1,12,8
108,Forest Service Vows To Improve Planning Amidst Criticism After Wildfire,4,"Interesting headline but not very precise--word choice of ""criticism"" is potentially misleading or confusing. ",5,18,690,uA2ctpMlrPWUQyFhAUak6O0xDEz1,5,13,10
109," The prescribed burn in New Mexico took an unexpected turn, causing the largest fire in the United States this year",6,Too long.,5,18,461,lSToD6u7LuZJk20NqhMUk3jy22S2,4,13,20
110," Forest Service must adapt to climate change to prevent future disasters, report says",2,"Good combination of detail, word choice, although less concise than some alternatives. ",5,18,169,DfOjhf1GRSZRb9Me3GpdSoJ5Rmp1,3,13,13
111,Mistaken Fire-fighting Strategy Imperiled Residents in New Mexico,3,Good attractiveness--draws reader's attention to read further. However the text does not imply that these fires are a unique risk to New Mexico--they pose a growing problem on a national scale.,5,18,389,Z1Iwjxc3JTVX87gD9pHXNdu3ubs2,2,13,8
112,Report: U.S. Forest Service Underestimated Climate Change When Planning Controlled Burn,1,Great accuracy--good reflection of the text itself.,5,18,833,gpt3,1,13,11
113,U.S. Forest Service admits climate change miscalculation in New Mexico fire,5,"Potentially distasteful--""admits miscalculation"" seems tokenist, as though the Forest Service is the root cause of the climate change problem. ",5,18,813,original,0,13,11
114,"""23.4% of the Global Ocean Floor Has Been Mapped""",2,"Accurate, not too long, although using a direct quote is not ideal nor a common practice for a headline. This exact quote is not even in the text--different words are used to describe the 23.4% figure.",5,19,836,gpt3,1,16,9
115,UN Ocean Conference highlights advances in seafloor mapping,3,Good clarity but selective regarding the parties involved.,5,19,97,7vtosds1eTQWx6qaDn5FwExnVR63,4,16,8
116,-Semi-Autonomous Vehicles Key to Mapping Vast Unknown Areas of Ocean Floor,4,Interesting headline but misses a major point (how much ocean floor has been surveyed).,5,19,116,AtwFIMCkpLTdyT6zSPsQSMao2uj2,5,16,11
117," Slowly but surely, more of the global ocean floor is being mapped Better seafloor maps help us with navigation, conservation, and many other uses Sea maps are essential for safe navigation, but also for fisheries management and conservation",6,Extremely long headline.,5,19,457,dOa9iEjV8abyeuFqAcEpiOn34hw1,3,16,38
118,Nearly a quarter of Earth's seafloor now mapped,1,"Concise, exciting headline that broadly reflects the theme of the text. ",5,19,816,original,0,16,8
119,"Mapping the Seafloor - Locals, Autonomous Technology, or Archives. How Will We Do It?",5,"Interesting headline, draws attention but less concise than almost all alternatives. ",5,19,503,oiSOL7I2jnXllXIzwSuF7VwmaVu1,2,16,14
0,Japan is ready To Flourish with Tourism after Covid-19 Restrictions,3,not very attractive but gives an overview of the article,15,0,531,oniGMuSHR1Uxz4qKvfoKSPke6Z32,2,7,10
